clinic_location,appointment_date,hour_of_day,scheduled_appointments,attended_appointments,completed_appointments,avg_wait_time_minutes,walked_out_appointments,providers_scheduled,appointments_per_provider
Central City,2026-06-03,12,5,5,5,0.0,0,3,1.67
Central City,2026-06-03,13,3,3,3,0.0,0,3,1.0
Central City,2026-06-03,14,2,2,2,0.0,0,3,0.67
Central City,2026-06-03,15,14,13,12,13.08,1,3,4.33
Central City,2026-06-03,16,13,10,9,44.33,1,3,3.33
Central City,2026-06-04,8,6,6,6,5.67,0,2,3.0
Central City,2026-06-04,9,5,5,5,4.0,0,3,1.67
Central City,2026-06-04,10,8,8,7,11.29,1,3,2.67
Central City,2026-06-04,11,10,10,10,2.0,0,3,3.33
Central City,2026-06-04,12,5,4,4,1.25,0,3,1.33
Central City,2026-06-04,13,3,3,2,0.0,1,3,1.0
Central City,2026-06-04,14,3,2,1,0.0,1,3,0.67
Central City,2026-06-04,15,7,7,7,0.57,0,3,2.33
Central City,2026-06-04,16,4,3,3,0.0,0,3,1.0
Central City,2026-06-05,8,2,2,2,0.0,0,2,1.0
Central City,2026-06-05,9,10,8,8,0.62,0,3,2.67
Central City,2026-06-05,10,6,5,5,1.0,0,3,1.67
Central City,2026-06-05,11,11,11,10,28.6,1,3,3.67
Central City,2026-06-05,12,2,2,2,17.5,0,3,0.67
Central City,2026-06-05,13,3,3,3,0.0,0,3,1.0
Central City,2026-06-05,14,5,4,4,0.0,0,3,1.33
Central City,2026-06-05,15,6,4,4,0.0,0,3,1.33
Central City,2026-06-05,16,9,9,7,1.71,2,3,3.0
Central City,2026-06-06,8,6,5,5,4.2,0,2,2.5
Central City,2026-06-06,9,8,7,7,6.57,0,3,2.33
Central City,2026-06-06,10,10,10,9,18.33,1,3,3.33
Central City,2026-06-06,11,8,7,7,1.71,0,3,2.33
Central City,2026-06-06,12,1,1,1,12.0,0,3,0.33
Central City,2026-06-08,8,2,2,2,0.0,0,2,1.0
Central City,2026-06-08,9,3,3,3,0.0,0,3,1.0
Central City,2026-06-08,10,6,6,6,3.0,0,3,2.0
Central City,2026-06-08,11,6,6,6,6.67,0,3,2.0
Central City,2026-06-08,12,5,5,5,0.0,0,3,1.67
Central City,2026-06-08,14,7,6,6,0.0,0,3,2.0
Central City,2026-06-08,15,17,16,13,38.31,3,3,5.33
Central City,2026-06-08,16,8,7,4,50.75,3,3,2.33
Central City,2026-06-09,7,1,1,1,13.0,0,0,
Central City,2026-06-09,8,2,2,2,3.0,0,2,1.0
Central City,2026-06-09,9,7,7,7,0.57,0,3,2.33
Central City,2026-06-09,10,8,8,8,2.25,0,3,2.67
Central City,2026-06-09,11,3,3,3,0.0,0,3,1.0
Central City,2026-06-09,12,3,2,1,0.0,1,3,0.67
Central City,2026-06-09,13,4,3,3,0.0,0,3,1.0
Central City,2026-06-09,14,2,1,1,0.0,0,3,0.33
Central City,2026-06-09,15,10,8,8,5.12,0,3,2.67
Central City,2026-06-09,16,7,6,5,14.8,1,3,2.0
Central City,2026-06-10,7,1,1,1,18.0,0,0,
Central City,2026-06-10,8,5,5,5,6.0,0,2,2.5
Central City,2026-06-10,9,5,5,4,0.0,1,3,1.67
Central City,2026-06-10,10,8,8,8,2.75,0,3,2.67
Central City,2026-06-10,11,3,3,3,0.33,0,3,1.0
Central City,2026-06-10,12,5,5,5,1.6,0,3,1.67
Central City,2026-06-10,13,3,3,3,10.33,0,3,1.0
Central City,2026-06-10,14,3,3,3,0.0,0,3,1.0
Central City,2026-06-10,15,6,6,6,0.0,0,3,2.0
Central City,2026-06-10,16,8,8,8,1.75,0,3,2.67
Central City,2026-06-11,7,2,2,2,9.5,0,0,
Central City,2026-06-11,8,3,1,0,,1,2,0.5
Central City,2026-06-11,9,6,4,3,0.0,1,3,1.33
Central City,2026-06-11,10,13,11,11,11.55,0,3,3.67
Central City,2026-06-11,11,4,4,4,24.75,0,3,1.33
Central City,2026-06-11,12,3,2,2,0.0,0,3,0.67
Central City,2026-06-11,13,1,1,1,0.0,0,3,0.33
Central City,2026-06-11,14,9,8,8,1.0,0,3,2.67
Central City,2026-06-11,15,15,15,14,16.86,1,3,5.0
Central City,2026-06-11,16,5,5,3,23.67,2,3,1.67
Central City,2026-06-12,7,1,1,1,22.0,0,0,
Central City,2026-06-12,8,4,4,4,1.0,0,2,2.0
Central City,2026-06-12,9,3,3,3,0.0,0,3,1.0
Central City,2026-06-12,10,16,15,14,17.5,1,3,5.0
Central City,2026-06-12,11,6,5,4,16.25,1,3,1.67
Central City,2026-06-12,12,2,2,2,0.0,0,3,0.67
Central City,2026-06-12,13,5,5,5,0.4,0,3,1.67
Central City,2026-06-12,14,11,11,10,5.1,1,3,3.67
Central City,2026-06-12,15,8,7,6,2.0,1,3,2.33
Central City,2026-06-12,16,3,3,2,0.0,1,3,1.0
Central City,2026-06-13,8,7,7,7,1.71,0,2,3.5
Central City,2026-06-13,9,3,3,3,1.33,0,3,1.0
Central City,2026-06-13,10,8,8,8,6.0,0,3,2.67
Central City,2026-06-13,11,14,13,12,19.42,1,3,4.33
Central City,2026-06-13,12,4,4,3,38.0,1,3,1.33
Central City,2026-06-15,8,8,6,6,9.0,0,2,3.0
Central City,2026-06-15,9,6,6,6,3.17,0,3,2.0
Central City,2026-06-15,10,10,8,7,11.86,1,3,2.67
Central City,2026-06-15,11,7,7,7,10.14,0,3,2.33
Central City,2026-06-15,12,4,3,3,0.0,0,3,1.0
Central City,2026-06-15,13,3,3,3,0.0,0,3,1.0
Central City,2026-06-15,14,9,8,8,11.38,0,3,2.67
Central City,2026-06-15,15,8,6,6,20.33,0,3,2.0
Central City,2026-06-15,16,5,4,4,7.75,0,3,1.33
Central City,2026-06-16,8,7,6,6,2.5,0,2,3.0
Central City,2026-06-16,9,6,5,5,0.0,0,3,1.67
Central City,2026-06-16,10,5,4,4,0.0,0,3,1.33
Central City,2026-06-16,11,5,5,4,0.0,1,3,1.67
Central City,2026-06-16,12,3,3,3,0.67,0,3,1.0
Central City,2026-06-16,13,2,1,1,0.0,0,3,0.33
Central City,2026-06-16,14,4,4,4,0.0,0,3,1.33
Central City,2026-06-16,15,14,9,9,0.89,0,3,3.0
Central City,2026-06-16,16,8,8,8,29.25,0,3,2.67
Central City,2026-06-17,7,1,1,1,4.0,0,0,
Central City,2026-06-17,8,4,3,3,0.0,0,2,1.5
Central City,2026-06-17,9,7,7,7,1.29,0,3,2.33
Central City,2026-06-17,10,3,2,2,0.0,0,3,0.67
Central City,2026-06-17,11,6,5,5,0.0,0,3,1.67
Central City,2026-06-17,12,6,5,5,0.2,0,3,1.67
Central City,2026-06-17,13,6,6,6,2.17,0,3,2.0
Central City,2026-06-17,14,9,8,8,1.62,0,3,2.67
Central City,2026-06-17,15,9,9,9,8.22,0,3,3.0
Central City,2026-06-17,16,7,7,7,11.43,0,3,2.33
Central City,2026-06-18,8,6,5,5,0.4,0,2,2.5
Central City,2026-06-18,9,7,7,7,4.86,0,3,2.33
Central City,2026-06-18,10,6,6,6,4.83,0,3,2.0
Central City,2026-06-18,11,3,2,2,0.0,0,3,0.67
Central City,2026-06-18,12,4,3,3,0.0,0,3,1.0
Central City,2026-06-18,13,2,2,2,0.0,0,3,0.67
Central City,2026-06-18,14,4,4,4,0.0,0,3,1.33
Central City,2026-06-18,15,10,9,9,6.44,0,3,3.0
Central City,2026-06-18,16,6,6,6,32.33,0,3,2.0
Central City,2026-06-19,8,3,2,2,0.0,0,2,1.0
Central City,2026-06-19,9,7,6,6,3.17,0,3,2.0
Central City,2026-06-19,10,6,6,5,4.4,1,3,2.0
Central City,2026-06-19,11,6,6,6,0.0,0,3,2.0
Central City,2026-06-19,12,4,3,3,0.0,0,3,1.0
Central City,2026-06-19,13,6,3,2,0.0,1,3,1.0
Central City,2026-06-19,14,2,1,1,0.0,0,3,0.33
Central City,2026-06-19,15,10,10,10,10.1,0,3,3.33
Central City,2026-06-19,16,6,5,5,8.2,0,3,1.67
Central City,2026-06-20,8,3,3,3,0.0,0,2,1.5
Central City,2026-06-20,9,6,6,6,8.33,0,3,2.0
Central City,2026-06-20,10,13,13,11,37.27,2,3,4.33
Central City,2026-06-20,11,8,8,6,34.0,2,3,2.67
Central City,2026-06-20,12,3,3,3,15.67,0,3,1.0
Central City,2026-06-22,8,2,2,2,0.0,0,2,1.0
Central City,2026-06-22,9,7,7,7,0.0,0,3,2.33
Central City,2026-06-22,10,10,9,9,12.33,0,3,3.0
Central City,2026-06-22,11,7,3,3,0.0,0,3,1.0
Central City,2026-06-22,12,6,4,4,0.0,0,3,1.33
Central City,2026-06-22,13,6,5,4,0.0,1,3,1.67
Central City,2026-06-22,14,2,2,2,0.0,0,3,0.67
Central City,2026-06-22,15,11,9,9,8.56,0,3,3.0
Central City,2026-06-22,16,12,11,10,6.3,1,3,3.67
Central City,2026-06-23,8,3,2,2,0.0,0,2,1.0
Central City,2026-06-23,9,2,2,2,0.0,0,3,0.67
Central City,2026-06-23,10,8,8,8,1.88,0,3,2.67
Central City,2026-06-23,11,5,5,5,0.2,0,3,1.67
Central City,2026-06-23,12,4,4,4,0.0,0,3,1.33
Central City,2026-06-23,13,3,3,3,0.0,0,3,1.0
Central City,2026-06-23,14,10,9,9,0.56,0,3,3.0
Central City,2026-06-23,15,11,11,10,18.5,1,3,3.67
Central City,2026-06-23,16,8,8,6,19.17,2,3,2.67
Central City,2026-06-24,8,2,2,2,0.0,0,2,1.0
Central City,2026-06-24,9,6,5,5,1.4,0,3,1.67
Central City,2026-06-24,10,12,11,11,15.27,0,3,3.67
Central City,2026-06-24,11,5,4,2,26.5,2,3,1.33
Central City,2026-06-24,12,4,2,2,0.0,0,3,0.67
Central City,2026-06-24,13,3,3,3,0.0,0,3,1.0
Central City,2026-06-24,14,8,8,8,2.0,0,3,2.67
Central City,2026-06-24,15,5,5,5,0.0,0,3,1.67
Central City,2026-06-24,16,7,7,7,0.14,0,3,2.33
Central City,2026-06-25,7,1,1,1,9.0,0,0,
Central City,2026-06-25,8,3,3,3,0.0,0,2,1.5
Central City,2026-06-25,9,5,4,4,0.0,0,3,1.33
Central City,2026-06-25,10,12,10,10,3.4,0,3,3.33
Central City,2026-06-25,11,7,6,6,3.5,0,3,2.0
Central City,2026-06-25,12,5,4,4,0.0,0,3,1.33
Central City,2026-06-25,13,5,5,5,0.0,0,3,1.67
Central City,2026-06-25,14,2,1,1,0.0,0,3,0.33
Central City,2026-06-25,15,8,8,8,0.25,0,3,2.67
Central City,2026-06-25,16,9,9,7,11.0,2,3,3.0
Central City,2026-06-25,17,2,2,2,0.0,0,0,
Central City,2026-06-26,9,5,5,5,0.0,0,3,1.67
Central City,2026-06-26,10,10,9,8,3.75,1,3,3.0
Central City,2026-06-26,11,6,6,5,3.4,1,3,2.0
Central City,2026-06-26,12,3,2,2,0.0,0,3,0.67
Central City,2026-06-26,13,3,3,2,0.0,1,3,1.0
Central City,2026-06-26,14,10,9,9,7.56,0,3,3.0
Central City,2026-06-26,15,12,12,11,38.64,1,3,4.0
Central City,2026-06-26,16,9,9,8,39.62,1,3,3.0
Central City,2026-06-27,7,1,1,1,1.0,0,0,
Central City,2026-06-27,8,2,2,2,0.0,0,2,1.0
Central City,2026-06-27,9,11,10,10,3.8,0,3,3.33
Central City,2026-06-27,10,13,13,13,36.62,0,3,4.33
Central City,2026-06-27,11,6,6,6,33.33,0,3,2.0
Central City,2026-06-27,12,6,6,5,9.8,1,3,2.0
Central City,2026-06-29,7,1,1,1,5.0,0,0,
Central City,2026-06-29,8,5,5,5,4.4,0,2,2.5
Central City,2026-06-29,9,5,5,5,0.0,0,3,1.67
Central City,2026-06-29,10,8,7,6,0.0,1,3,2.33
Central City,2026-06-29,11,13,12,9,28.67,3,3,4.0
Central City,2026-06-29,12,3,3,3,0.0,0,3,1.0
Central City,2026-06-29,13,5,3,3,0.0,0,3,1.0
Central City,2026-06-29,14,3,3,3,0.0,0,3,1.0
Central City,2026-06-29,15,12,11,10,1.7,1,3,3.67
Central City,2026-06-29,16,3,2,2,0.0,0,3,0.67
Central City,2026-06-30,8,2,2,2,0.0,0,2,1.0
Central City,2026-06-30,9,4,3,3,0.0,0,3,1.0
Central City,2026-06-30,10,8,8,7,0.71,1,3,2.67
Central City,2026-06-30,11,5,4,4,2.25,0,3,1.33
Central City,2026-06-30,12,4,4,4,3.75,0,3,1.33
Central City,2026-06-30,13,2,1,1,0.0,0,3,0.33
Central City,2026-06-30,14,3,2,2,0.0,0,3,0.67
Central City,2026-06-30,15,16,16,16,25.56,0,3,5.33
Central City,2026-06-30,16,2,2,2,5.0,0,3,0.67
Lakeside,2026-01-01,9,5,5,5,0.4,0,3,1.67
Lakeside,2026-01-01,10,2,2,2,0.0,0,3,0.67
Lakeside,2026-01-01,11,1,1,1,0.0,0,3,0.33
Lakeside,2026-01-01,12,5,4,4,0.0,0,3,1.33
Lakeside,2026-01-01,13,1,1,1,0.0,0,3,0.33
Lakeside,2026-01-01,15,6,6,6,0.0,0,3,2.0
Lakeside,2026-01-01,16,1,1,1,0.0,0,3,0.33
Lakeside,2026-01-02,8,5,4,4,0.25,0,2,2.0
Lakeside,2026-01-02,9,1,1,1,0.0,0,3,0.33
Lakeside,2026-01-02,10,5,5,5,0.0,0,3,1.67
Lakeside,2026-01-02,11,4,4,4,0.0,0,3,1.33
Lakeside,2026-01-02,13,1,1,1,0.0,0,3,0.33
Lakeside,2026-01-02,14,3,2,2,0.0,0,3,0.67
Lakeside,2026-01-02,15,4,4,4,0.0,0,3,1.33
Lakeside,2026-01-02,16,2,2,2,0.0,0,3,0.67
Lakeside,2026-01-03,7,1,1,1,1.0,0,0,
Lakeside,2026-01-03,9,4,3,3,0.0,0,3,1.0
Lakeside,2026-01-03,10,7,7,6,0.0,1,3,2.33
Lakeside,2026-01-03,11,7,7,7,0.43,0,3,2.33
Lakeside,2026-01-03,12,1,0,0,,0,3,0.0
Lakeside,2026-01-05,8,2,2,2,0.0,0,2,1.0
Lakeside,2026-01-05,9,3,3,2,0.0,1,3,1.0
Lakeside,2026-01-05,10,2,1,1,0.0,0,3,0.33
Lakeside,2026-01-05,11,2,1,1,0.0,0,3,0.33
Lakeside,2026-01-05,12,2,2,2,0.0,0,3,0.67
Lakeside,2026-01-05,13,2,2,2,0.0,0,3,0.67
Lakeside,2026-01-05,14,7,6,6,0.0,0,3,2.0
Lakeside,2026-01-05,15,6,6,5,0.2,1,3,2.0
Lakeside,2026-01-05,16,9,9,9,6.67,0,3,3.0
Lakeside,2026-01-06,7,1,1,1,9.0,0,0,
Lakeside,2026-01-06,9,8,6,6,0.0,0,3,2.0
Lakeside,2026-01-06,10,8,6,5,0.0,1,3,2.0
Lakeside,2026-01-06,11,8,6,6,3.0,0,3,2.0
Lakeside,2026-01-06,12,2,2,2,0.0,0,3,0.67
Lakeside,2026-01-06,13,2,2,2,0.0,0,3,0.67
Lakeside,2026-01-06,14,4,4,4,0.0,0,3,1.33
Lakeside,2026-01-06,15,2,2,2,0.0,0,3,0.67
Lakeside,2026-01-06,16,4,4,4,0.0,0,3,1.33
Lakeside,2026-01-07,7,1,1,1,6.0,0,0,
Lakeside,2026-01-07,8,2,1,1,0.0,0,2,0.5
Lakeside,2026-01-07,9,9,9,9,0.78,0,3,3.0
Lakeside,2026-01-07,10,5,5,5,0.0,0,3,1.67
Lakeside,2026-01-07,11,4,4,4,0.0,0,3,1.33
Lakeside,2026-01-07,12,2,2,1,0.0,1,3,0.67
Lakeside,2026-01-07,14,4,4,4,0.0,0,3,1.33
Lakeside,2026-01-07,15,5,5,4,0.0,1,3,1.67
Lakeside,2026-01-07,16,4,2,2,0.0,0,3,0.67
Lakeside,2026-01-08,8,1,1,1,0.0,0,2,0.5
Lakeside,2026-01-08,9,4,4,4,0.0,0,3,1.33
Lakeside,2026-01-08,10,8,8,7,1.86,1,3,2.67
Lakeside,2026-01-08,11,7,7,6,0.33,1,3,2.33
Lakeside,2026-01-08,12,1,1,1,0.0,0,3,0.33
Lakeside,2026-01-08,13,1,1,1,0.0,0,3,0.33
Lakeside,2026-01-08,14,2,1,1,0.0,0,3,0.33
Lakeside,2026-01-08,15,9,9,9,2.33,0,3,3.0
Lakeside,2026-01-08,16,4,4,4,0.0,0,3,1.33
Lakeside,2026-01-09,8,1,0,0,,0,2,0.0
Lakeside,2026-01-09,9,7,6,6,1.5,0,3,2.0
Lakeside,2026-01-09,10,8,8,7,0.86,1,3,2.67
Lakeside,2026-01-09,11,1,1,1,0.0,0,3,0.33
Lakeside,2026-01-09,12,3,3,3,0.0,0,3,1.0
Lakeside,2026-01-09,14,4,4,3,0.0,1,3,1.33
Lakeside,2026-01-09,15,7,7,7,2.57,0,3,2.33
Lakeside,2026-01-09,16,3,3,3,0.0,0,3,1.0
Lakeside,2026-01-10,8,3,3,3,0.0,0,2,1.5
Lakeside,2026-01-10,9,2,1,1,0.0,0,3,0.33
Lakeside,2026-01-10,10,10,10,10,3.5,0,3,3.33
Lakeside,2026-01-10,11,4,4,4,3.25,0,3,1.33
Lakeside,2026-01-10,12,2,2,2,0.0,0,3,0.67
Lakeside,2026-01-12,8,5,5,5,1.6,0,2,2.5
Lakeside,2026-01-12,9,7,6,5,0.0,1,3,2.0
Lakeside,2026-01-12,10,4,4,4,0.0,0,3,1.33
Lakeside,2026-01-12,11,3,3,3,0.0,0,3,1.0
Lakeside,2026-01-12,13,4,4,3,0.0,1,3,1.33
Lakeside,2026-01-12,14,5,5,5,1.0,0,3,1.67
Lakeside,2026-01-12,15,6,5,5,0.0,0,3,1.67
Lakeside,2026-01-12,16,7,6,6,0.0,0,3,2.0
Lakeside,2026-01-13,8,1,1,1,0.0,0,2,0.5
Lakeside,2026-01-13,9,6,6,5,0.0,1,3,2.0
Lakeside,2026-01-13,10,3,3,3,0.0,0,3,1.0
Lakeside,2026-01-13,11,1,1,1,0.0,0,3,0.33
Lakeside,2026-01-13,12,4,4,4,0.0,0,3,1.33
Lakeside,2026-01-13,14,7,5,5,0.0,0,3,1.67
Lakeside,2026-01-13,15,4,4,4,0.0,0,3,1.33
Lakeside,2026-01-13,16,5,5,5,0.0,0,3,1.67
Lakeside,2026-01-14,8,4,4,2,0.0,2,2,2.0
Lakeside,2026-01-14,9,2,2,2,0.0,0,3,0.67
Lakeside,2026-01-14,10,6,6,6,0.0,0,3,2.0
Lakeside,2026-01-14,11,1,1,1,0.0,0,3,0.33
Lakeside,2026-01-14,12,6,6,6,0.0,0,3,2.0
Lakeside,2026-01-14,13,2,2,2,0.0,0,3,0.67
Lakeside,2026-01-14,14,9,8,8,0.0,0,3,2.67
Lakeside,2026-01-14,15,1,1,1,0.0,0,3,0.33
Lakeside,2026-01-14,16,1,1,1,0.0,0,3,0.33
Lakeside,2026-01-15,7,1,1,1,6.0,0,0,
Lakeside,2026-01-15,8,3,3,3,0.0,0,2,1.5
Lakeside,2026-01-15,9,2,2,2,0.0,0,3,0.67
Lakeside,2026-01-15,10,7,6,6,0.0,0,3,2.0
Lakeside,2026-01-15,11,3,3,3,0.0,0,3,1.0
Lakeside,2026-01-15,12,1,1,1,0.0,0,3,0.33
Lakeside,2026-01-15,13,2,2,2,0.0,0,3,0.67
Lakeside,2026-01-15,14,4,4,4,0.0,0,3,1.33
Lakeside,2026-01-15,15,5,5,5,0.0,0,3,1.67
Lakeside,2026-01-15,16,3,3,3,0.0,0,3,1.0
Lakeside,2026-01-16,8,3,3,3,0.0,0,2,1.5
Lakeside,2026-01-16,9,6,6,6,3.33,0,3,2.0
Lakeside,2026-01-16,10,4,4,4,0.0,0,3,1.33
Lakeside,2026-01-16,11,4,4,4,0.0,0,3,1.33
Lakeside,2026-01-16,13,1,1,1,0.0,0,3,0.33
Lakeside,2026-01-16,14,5,5,5,0.0,0,3,1.67
Lakeside,2026-01-16,15,5,4,4,0.0,0,3,1.33
Lakeside,2026-01-16,16,1,1,1,0.0,0,3,0.33
Lakeside,2026-01-17,8,4,4,4,0.0,0,2,2.0
Lakeside,2026-01-17,9,7,6,6,0.33,0,3,2.0
Lakeside,2026-01-17,10,12,12,11,10.0,1,3,4.0
Lakeside,2026-01-17,11,3,2,2,0.0,0,3,0.67
Lakeside,2026-01-17,12,2,2,2,0.0,0,3,0.67
Lakeside,2026-01-19,7,1,1,1,8.0,0,0,
Lakeside,2026-01-19,8,3,2,2,0.0,0,2,1.0
Lakeside,2026-01-19,9,5,5,5,0.0,0,3,1.67
Lakeside,2026-01-19,10,9,9,8,0.62,1,3,3.0
Lakeside,2026-01-19,11,4,4,4,0.0,0,3,1.33
Lakeside,2026-01-19,12,3,3,3,0.0,0,3,1.0
Lakeside,2026-01-19,13,1,1,1,0.0,0,3,0.33
Lakeside,2026-01-19,14,2,2,2,0.0,0,3,0.67
Lakeside,2026-01-19,15,8,6,6,0.0,0,3,2.0
Lakeside,2026-01-20,9,4,3,3,0.0,0,3,1.0
Lakeside,2026-01-20,10,9,8,8,1.5,0,3,2.67
Lakeside,2026-01-20,11,4,4,3,0.0,1,3,1.33
Lakeside,2026-01-20,12,4,4,4,0.0,0,3,1.33
Lakeside,2026-01-20,13,1,1,1,0.0,0,3,0.33
Lakeside,2026-01-20,14,3,3,3,0.0,0,3,1.0
Lakeside,2026-01-20,15,6,6,6,1.33,0,3,2.0
Lakeside,2026-01-20,16,5,5,5,4.8,0,3,1.67
Lakeside,2026-01-21,8,1,1,1,0.0,0,2,0.5
Lakeside,2026-01-21,9,5,5,5,0.0,0,3,1.67
Lakeside,2026-01-21,10,7,7,7,3.14,0,3,2.33
Lakeside,2026-01-21,11,2,2,2,0.0,0,3,0.67
Lakeside,2026-01-21,12,2,2,2,0.0,0,3,0.67
Lakeside,2026-01-21,13,1,1,1,0.0,0,3,0.33
Lakeside,2026-01-21,14,5,5,5,0.0,0,3,1.67
Lakeside,2026-01-21,15,2,2,2,0.0,0,3,0.67
Lakeside,2026-01-21,16,2,2,2,0.0,0,3,0.67
Lakeside,2026-01-21,17,2,2,1,0.0,1,0,
Lakeside,2026-01-22,8,2,2,2,0.0,0,2,1.0
Lakeside,2026-01-22,9,3,2,2,0.0,0,3,0.67
Lakeside,2026-01-22,10,4,3,3,0.0,0,3,1.0
Lakeside,2026-01-22,11,1,1,1,0.0,0,3,0.33
Lakeside,2026-01-22,12,1,1,1,0.0,0,3,0.33
Lakeside,2026-01-22,13,3,3,2,0.0,1,3,1.0
Lakeside,2026-01-22,14,3,3,3,0.0,0,3,1.0
Lakeside,2026-01-22,15,7,7,7,0.0,0,3,2.33
Lakeside,2026-01-22,16,1,1,1,0.0,0,3,0.33
Lakeside,2026-01-23,8,2,2,2,0.0,0,2,1.0
Lakeside,2026-01-23,9,4,3,3,0.0,0,3,1.0
Lakeside,2026-01-23,10,6,6,6,0.0,0,3,2.0
Lakeside,2026-01-23,11,4,4,4,0.0,0,3,1.33
Lakeside,2026-01-23,12,2,1,1,0.0,0,3,0.33
Lakeside,2026-01-23,13,1,1,1,0.0,0,3,0.33
Lakeside,2026-01-23,15,1,1,1,0.0,0,3,0.33
Lakeside,2026-01-23,16,5,5,5,0.0,0,3,1.67
Lakeside,2026-01-24,8,1,1,1,0.0,0,2,0.5
Lakeside,2026-01-24,9,9,8,8,0.75,0,3,2.67
Lakeside,2026-01-24,10,10,8,7,1.43,1,3,2.67
Lakeside,2026-01-24,11,7,7,7,2.14,0,3,2.33
Lakeside,2026-01-26,8,2,2,2,0.0,0,2,1.0
Lakeside,2026-01-26,9,6,6,6,0.0,0,3,2.0
Lakeside,2026-01-26,10,8,8,8,1.25,0,3,2.67
Lakeside,2026-01-26,11,5,3,3,0.0,0,3,1.0
Lakeside,2026-01-26,12,4,3,3,0.0,0,3,1.0
Lakeside,2026-01-26,13,4,3,3,0.0,0,3,1.0
Lakeside,2026-01-26,14,3,3,3,0.0,0,3,1.0
Lakeside,2026-01-26,15,6,5,4,0.0,1,3,1.67
Lakeside,2026-01-26,16,5,5,5,0.0,0,3,1.67
Lakeside,2026-01-27,7,1,1,1,2.0,0,0,
Lakeside,2026-01-27,8,1,1,1,0.0,0,2,0.5
Lakeside,2026-01-27,9,1,1,1,0.0,0,3,0.33
Lakeside,2026-01-27,10,8,6,5,0.0,1,3,2.0
Lakeside,2026-01-27,11,1,1,1,0.0,0,3,0.33
Lakeside,2026-01-27,14,4,4,4,0.0,0,3,1.33
Lakeside,2026-01-27,15,5,5,5,0.0,0,3,1.67
Lakeside,2026-01-27,16,4,1,1,0.0,0,3,0.33
Lakeside,2026-01-28,8,2,2,2,0.0,0,2,1.0
Lakeside,2026-01-28,9,9,7,7,1.29,0,3,2.33
Lakeside,2026-01-28,10,7,7,7,0.0,0,3,2.33
Lakeside,2026-01-28,11,5,4,4,0.75,0,3,1.33
Lakeside,2026-01-28,12,4,4,4,1.0,0,3,1.33
Lakeside,2026-01-28,13,4,4,4,0.0,0,3,1.33
Lakeside,2026-01-28,14,4,3,3,0.0,0,3,1.0
Lakeside,2026-01-28,15,13,12,12,4.08,0,3,4.0
Lakeside,2026-01-28,16,5,4,4,0.0,0,3,1.33
Lakeside,2026-01-29,8,3,3,3,0.0,0,2,1.5
Lakeside,2026-01-29,9,6,4,4,0.0,0,3,1.33
Lakeside,2026-01-29,10,8,6,6,0.0,0,3,2.0
Lakeside,2026-01-29,11,3,3,3,0.0,0,3,1.0
Lakeside,2026-01-29,12,1,1,1,0.0,0,3,0.33
Lakeside,2026-01-29,13,1,1,1,0.0,0,3,0.33
Lakeside,2026-01-29,14,4,4,4,0.0,0,3,1.33
Lakeside,2026-01-29,15,7,4,4,0.0,0,3,1.33
Lakeside,2026-01-29,16,2,2,2,0.0,0,3,0.67
Lakeside,2026-01-29,17,1,1,1,0.0,0,0,
Lakeside,2026-01-30,7,1,1,1,16.0,0,0,
Lakeside,2026-01-30,8,2,2,2,0.0,0,2,1.0
Lakeside,2026-01-30,9,4,4,3,0.0,1,3,1.33
Lakeside,2026-01-30,10,6,5,5,0.0,0,3,1.67
Lakeside,2026-01-30,11,1,1,0,,1,3,0.33
Lakeside,2026-01-30,12,3,3,3,0.0,0,3,1.0
Lakeside,2026-01-30,13,4,4,3,0.0,1,3,1.33
Lakeside,2026-01-30,14,3,3,3,0.0,0,3,1.0
Lakeside,2026-01-30,15,5,5,5,0.0,0,3,1.67
Lakeside,2026-01-30,16,2,2,1,0.0,1,3,0.67
Lakeside,2026-01-31,7,1,1,1,5.0,0,0,
Lakeside,2026-01-31,8,5,5,5,4.0,0,2,2.5
Lakeside,2026-01-31,9,6,6,6,0.0,0,3,2.0
Lakeside,2026-01-31,10,7,6,4,0.25,2,3,2.0
Lakeside,2026-01-31,11,3,3,3,0.0,0,3,1.0
Lakeside,2026-01-31,12,2,2,2,0.0,0,3,0.67
Lakeside,2026-02-02,8,3,2,2,0.0,0,2,1.0
Lakeside,2026-02-02,9,2,2,2,0.0,0,3,0.67
Lakeside,2026-02-02,10,9,7,7,0.43,0,3,2.33
Lakeside,2026-02-02,11,4,3,2,0.0,1,3,1.0
Lakeside,2026-02-02,12,3,3,3,0.0,0,3,1.0
Lakeside,2026-02-02,13,2,2,1,0.0,1,3,0.67
Lakeside,2026-02-02,14,4,4,4,0.0,0,3,1.33
Lakeside,2026-02-02,15,8,8,7,0.0,1,3,2.67
Lakeside,2026-02-02,16,1,0,0,,0,3,0.0
Lakeside,2026-02-03,8,3,2,2,0.0,0,2,1.0
Lakeside,2026-02-03,9,4,3,3,0.0,0,3,1.0
Lakeside,2026-02-03,10,5,5,5,0.0,0,3,1.67
Lakeside,2026-02-03,11,3,3,3,0.0,0,3,1.0
Lakeside,2026-02-03,13,2,2,2,0.0,0,3,0.67
Lakeside,2026-02-03,14,4,3,3,0.0,0,3,1.0
Lakeside,2026-02-03,15,5,5,5,3.0,0,3,1.67
